Miseq_run,sample,Hash,nReads
5,LK_201706C.3,0122e38806723c133adc29c2109f4f81b16434e5,10
2,TW_201708B.2,c8c08855e7e0a30b0f386584907995809e864e74,115
6,CP_201708B.1,94695f8c872f82ab195802ad07ac536442cefece,192
1,PO_201703C.2,b286e8a6f771e15c78da3e9529aa8d325bb03ff7,6
8,CP_201807C.1,69b0e2aa1dd38c477cbc388ffe978ec9271fa3fa,11
5,TW_201709B.2,95da530ef60b2b1d10b3f0735d0c4e87f5ab7106,152
6,FH_201708A.2,8b74ea17f3ecb6eac5452828eaf739a4de714456,112
6,LL_201711C.3,429d3c6f0bad372c51cee589a1c567e853c3da6a,9
2,SA_201708B.3,868e3c024b916d8b2a8def2ee4193a938a0642ff,10
3,TR_201705B.1,223a220178734017a25d5932cf30f478aae29b05,224
8,LK_201801B.2,7237bd9dda56dafaf30572f138dae69d125c24c6,864
2,LL_201707C.1,ecbcc3bd709776326a720729ad74c020c160aa3a,475
7,TR_201805B.2,a7b0b1701f2c00f584c8b9277f2d5f6a37bc927c,1423
7,TR_201807C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,757
1,PO_201703D.1,adb6bebe24ca9d2758cd90e8a83282fe40c24287,4
3,TW_201706A.1,38d017d1f39373e9dcd92f8d416a22c1ce099209,15
7,SA_201807C.2,7be9b1e29a01bbf1b1fce56f741c9042cc39bdf7,636
6,SA_201711C.3,d8ed22edb9b4c9c2eccdde41cecb635458209e93,272
6,FH_201708B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,1863
6,LK_201706A.3,053d30e40ec1315453560334a35e22ebfe80de93,3492
8,FH_201807C.3,e294b257e9eaf219586d0deec990b0d66720bb9b,95
8,FH_201805A.3,d40b7574c01ee56d73eb6dc25f544a9b1e04c865,140
8,CP_201803A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,3940
7,TW_201803A.2,eae98c4bc86d2a541615d9590a332f146558d07a,61
2,SA_201708A.1,8a17c79fb1ddb2dac42e79d554c750133cfe1d6f,6
7,TW_201801A.1,92f928afb7738f95ce762fddd59d1a467c174513,8
8,CP_201803C.2,56d8f226443ecdb8abd4e28dfef2a496b76c8cd9,5
2,LL_201708A.2,3d1145ee1cd9deecea59a0bb48df511999e1eb98,433
5,FH_201707A.3,2b7f3333b53918cf65b847fe5e1c8d94ce73b43b,7
2,SA_201707B.1,ab0e2f03ed5e106c8a74de2259c5b5b81a977731,2
1,PO_201703A.3,83334fa70e3fa4e07973c5ed12903166a1da716f,135
7,TW_201807C.3,5cc177770b8a0d07bf6a3603c78c99812ab120bf,24
5,SA_201703A.3,2eb773a13de7887b9598bc2cb106413dbe9424d4,585
7,LL_201805A.1,539f3bb6f84a958ed834224d82ca5c7d10a6f6ae,5
5,TR_201703B.2,16ce66aee20aa6ef7da942626c554ca1c8e1a977,70
6,CP_201706B.1,e76c4d005a5220e71b2798ac024032cd984d4af0,61
6,SA_201711A.2,6f98e637735b187cd156c79b8f022a0bc63d5fc5,3
7,LL_201801B.2,8f04336b2978b5342b5cd8a74d6c0fd86703e0cd,36
8,LK_201805B.3,25b3ed0bdd6282fd0a5fb04a862c49cea33006d9,12
7,PO_201801C.3,3bff4da3cb08b7d2499d3917ae3eaadf3a4d5f4d,39
2,SA_201708C.2,1fc8a426760d4b137af781c581544f34553a7a64,29
1,LL_201703A.3,fb61e8b0dac281b8e2b2df71af444948ff170080,5
4,LK_201710B.2,06416ab8eb77ec9897b280493e515669dbbd72a1,12
6,SA_201711A.3,04829c7dba52b160b7acc9e67d6cdfbd9b957fac,28
2,PO_201708A.2,a4289b6baaabb9e61beae114c433c65eceac82c0,1668
7,SA_201803C.2,f2c557df3514fc8e0ed431a8826155df05706c32,67
4,LK_201710B.1,3f50cfe214160ace51e8a7cefe49445a40fb2a0a,32
8,CP_201807C.1,c54bc989c316d1c02e3e8bf6e807f5a7d7541b60,7
5,LL_201711B.1,887fa7dcf65f58ce8e93037540f14a6c678d8a90,49
7,SA_201807B.2,e5161e0442a32475dc05ba2d3a1cbd430f4a2035,16
8,LK_201803B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,3758
5,PO_201711B.1,7a57c9dbd7b24dce9db21f770aa8a31dab53051b,104
2,SA_201708B.1,b46eb16e5cde5d8c0f1cc199f13513dd2c0b87b5,29
7,PO_201807A.1,3bd102092cf271a7c30088a5026020b63286429c,50
2,TW_201708A.2,54296bbebddfcc0f29b7a7a4c32d61271d864fc1,15
4,LK_201711A.2,7237bd9dda56dafaf30572f138dae69d125c24c6,734
1,PO_201703D.1,913bd86c3638ee2b616020e99a80420b229b822a,113
3,SA_201705A.3,d1890f68a453f28f4a39fdece8fdd855bd7bd310,143
5,TW_201711A.1,04829c7dba52b160b7acc9e67d6cdfbd9b957fac,96
2,SA_201707A.3,9402a7067c5f07e093e31adf849318245f495bb9,69
7,SA_201801A.1,a9b764daad3b864b2f654442c2fa27fb22a0d5dc,451
8,CP_201801B.3,4ec97e9d9f224e1a337998cb123220c2637e45f6,1263
4,LK_201710A.2,2a776b5c7472ea2d8a0a61b5f6de0df2d1da7e59,886
5,TR_201709B.2,0b602149cf1612e4cf6c8d8f18eb18ad3b382f34,25
4,FH_201709B.2,5595d03ddc0fe44e3f2ff144397fa110af605279,25
1,LL_201703D.3,d13c23a0ea32fc57891f85c61e71e1cea6585af9,34
5,FH_201707B.3,b6740ed67ad1b1cb970f7d71c87b8e8b03e60649,6
4,LK_201709C.2,47c7ddbe04be4633c912c4f90d3c34136e0bb992,22
2,SA_201707A.2,e294b257e9eaf219586d0deec990b0d66720bb9b,103
4,LK_201710B.3,3f5da7279576312fbd4903ccf5641b3f3547ed13,53
2,TW_201708C.3,0150e8c7e6355f74f34f1f35f80ca6274d30a7c0,996
1,TW_201703E.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,224
3,LL_201706A.2,43da46072645934c4d017b2539968d4189caff04,9
6,LK_201706A.2,9fe24f716c04be9792e3e32340be6c96a1b23d80,272
4,LK_201710A.2,873908e952c383394940460d81669338ffe9c36b,9
1,PO_201703C.2,c97e203113b40b77e44612c1d6e835474a9ddfac,1189
7,LL_201805B.1,438b8a97385082b3b12ffcc6e0fcfb4b22b9602a,20
7,TR_201803A.1,1c22ea8f147aef723fdd44b69e0ec480603a3073,26
3,TR_201705B.2,92ea928532ba52b95727e4f8068b800aacfaa9f6,85
1,PO_201703B.1,ae3eb63414d8c1bb606efb9cb03881f29fd8027b,20
5,FH_201707A.3,1b48c6125c806403513293bf8b8a345fb27c2be7,8
4,LK_201710B.2,0e38436814119cd7f59388509098ed672a973eac,3
3,LL_201705C.2,4842a78257c50a0cbcdd3d53648e3cb8640a6b9d,218
4,FH_201711A.1,b31432b7d63b5fa12be7ee7e555f9bb2e79b0d58,41
6,SA_201711A.2,04829c7dba52b160b7acc9e67d6cdfbd9b957fac,43
3,PO_201706B.2,0668d1d92655b0cf087703f51ea108e6eae86fd4,1289
4,FH_201709B.2,7bc409766246ae19b68c4b6804644ee61dd62e94,33
7,PO_201803C.2,4dc52fdc04ae6b5ca0069b00c0ed9856e4cc23c0,37
3,LL_201705A.1,4749cd01e88f66888e13bbbbf3838de3504d8acc,138
6,FH_201706C.3,484b2a75964b75771b9f6f33702471dd3f6807f1,20
3,TW_201706A.2,6f98e637735b187cd156c79b8f022a0bc63d5fc5,1411
3,TW_201705A.1,8790d1dec74eaaad4222d42eb6e01b66061a877e,46
3,SA_201706B.3,615043b57cfaf6f1f2f648280d425a04af3a6425,3
2,TW_201707B.1,d21137b6a1acb9f0513ec20b4fb777f3188c446c,32
4,LK_201709A.1,8ca463a926d5ce3a8c9a600f66bc9a6eef72d6e9,20
3,TW_201705B.3,a3f4654d03aed5d5c33a0ef9287bae7e61107e2d,14
3,PO_201706B.2,cc31829956f99898e6346ea28c395954ce5c56a9,65
5,FH_201706B.3,f5d88ad109ebd14216cd511e05b921c4ba270d85,6
5,LK_201707C.3,ac0b62928cd9e48b5dd97908cc73b19a98c30370,31
4,FH_201711B.2,7d7b641c6c396bf8a3f5b962b2d09f4e06b1893a,37
4,LK_201711A.3,164a163639205743b879abe760e889c06e9ea658,5
8,CP_201807C.1,e500d15e2f9eb15a4ab789644f521622d5ccb621,1439
5,SA_201703B.2,ecbcc3bd709776326a720729ad74c020c160aa3a,179
2,TR_201708A.1,dcf613c822a06f08ba8587c1683b16bee05cc402,65
4,FH_201709A.1,84778b35e3ff24c5d8d40c8e0e7341e183ef93d3,2
3,TW_201706B.2,bc6b1aeae602820e9af67763214c3b38c6d34f7c,1662
2,PO_201708B.2,c111b0a3587c381f203dd78db10110e1ad8cc2d6,20
4,LK_201710B.2,0fd8f0c3baaafc58bb46567a7d3d3e4281ebe681,8
4,LK_201710C.2,61c1197812c92a11d16e6d55b37359f38acce246,20
7,PO_201807B.1,dfd790f9b862e6415cbc236cc53b855a976f1714,110
4,CP_201711A.1,0176d888a6053f2b3b29dbcd07163adb672e16d8,327
6,TR_201703B.1,a9bd5e9d76fed046f553d3ad88131ca027de7647,36
3,PO_201706A.2,54296bbebddfcc0f29b7a7a4c32d61271d864fc1,218
3,PO_201705A.3,038e560d39085a92221c48cd45096cfe007067fa,8
